"TradeDate","Buy/Sell","Quantity","Symbol","Expiry","Strike","Put/Call","TradePrice","Proceeds","IBCommission","NetCash","AssetClass","Open/CloseIndicator","Multiplier","Notes/Codes"
"20150326","SELL","-1","GRMN  150717C00050000","20150717","50","C","1.5","150","-1.09476","148.90524","OPT","O","100",""
"20150717","BUY","1","GRMN  150717C00050000","20150717","50","C","0","-0","0","0","OPT","C","100","Ep"
"20150721","SELL","-1","GRMN  151016C00045000","20151016","45","C","1.05","105","-1.093932","103.906068","OPT","O","100",""
"20151016","BUY","1","GRMN  151016C00045000","20151016","45","C","0","-0","0","0","OPT","C","100","Ep"
"20151021","SELL","-1","GRMN  160115C00035000","20160115","35","C","1.18","118","-0.7958712","117.2041288","OPT","O","100",""
"20151208","BUY","1","GRMN  160115C00035000","20160115","35","C","2.8","-280","-1.0917","-281.0917","OPT","C","100",""
"20151208","SELL","-1","GRMN  160715C00037500","20160715","37.5","C","2.8","280","-1.098852","278.901148","OPT","O","100",""
"20150326","BUY","1","GRMN  170120C00037500","20170120","37.5","C","12.25","-1225","-1.09","-1226.09","OPT","O","100",""
"20150730","SELL","-2","HAL   150918P00040000","20150918","40","P","0.85","170","-1.387128","168.612872","OPT","O","100",""
"20150918","BUY","2","HAL   150918P00040000","20150918","40","P","0","-0","0","0","OPT","C","100","A"
"20150921","SELL","-1","HAL   151016C00040000","20151016","40","C","0.63","63","-0.7948592","62.2051408","OPT","O","100","P"
"20150921","SELL","-1","HAL   151016C00040000","20151016","40","C","0.63","63","-0.4948592","62.5051408","OPT","O","100","P"
"20151016","BUY","2","HAL   151016C00040000","20151016","40","C","0","-0","0","0","OPT","C","100","Ep"
"20151019","SELL","-2","HAL   151120C00040000","20151120","40","C","0.6","120","-0.989608","119.010392","OPT","O","100",""
"20151120","BUY","2","HAL   151120C00040000","20151120","40","C","0","-0","0","0","OPT","C","100","Ep"
"20151124","SELL","-2","HAL   151224C00040000","20151224","40","C","1.2","240","-0.991816","239.008184","OPT","O","100",""
"20151224","BUY","2","HAL   151224C00040000","20151224","40","C","0","-0","0","0","OPT","C","100","Ep"
"20151202","SELL","-1","IBKR  151218P00043000","20151218","43","P","0.6","60","-1.094804","58.905196","OPT","O","100",""
"20151214","BUY","1","IBKR  151218P00043000","20151218","43","P","2.16","-216","-0.3417","-216.3417","OPT","C","100",""
"20151214","SELL","-1","IBKR  160115P00042000","20160115","42","P","2.16","216","-0.3476744","215.6523256","OPT","O","100",""
"20150211","SELL","-1","INTC  150327C00034500","20150327","34.5","C","0.54","54","-1.093193","52.906807","OPT","O","100","P"
"20150211","SELL","-1","INTC  150327C00034500","20150327","34.5","C","0.54","54","-0.193193","53.806807","OPT","O","100","P"
"20150327","BUY","2","INTC  150327C00034500","20150327","34.5","C","0","-0","0","0","OPT","C","100","Ep"
"20150416","SELL","-1","INTC  150619C00034000","20150619","34","C","0.53","53","-1.092975","51.907025","OPT","O","100",""
"20150416","SELL","-1","INTC  150619C00034000","20150619","34","C","0.54","54","-1.092994","52.907006","OPT","O","100",""
"20150619","BUY","2","INTC  150619C00034000","20150619","34","C","0","-0","0","0","OPT","C","100","Ep"
"20150624","SELL","-1","INTC  150821C00033000","20150821","33","C","0.54","54","-1.0929936","52.9070064","OPT","O","100",""
"20150821","BUY","1","INTC  150821C00033000","20150821","33","C","0","-0","0","0","OPT","C","100","Ep"
"20150828","SELL","-1","INTC  151002C00030000","20151002","30","C","0.3","30","-0.795252","29.204748","OPT","O","100",""
"20150828","SELL","-1","INTC  151002C00030000","20151002","30","C","0.35","35","-0.795344","34.204656","OPT","O","100",""
"20151002","SELL","-1","INTC  151002C00030000","20151002","30","C","0.09","9","-1.0938656","7.9061344","OPT","O","100",""
"20151002","BUY","3","INTC  151002C00030000","20151002","30","C","0.09","-27","-1.7751","-28.7751","OPT","C","100",""
"20151002","SELL","-1","INTC  151106C00031000","20151106","31","C","0.58","58","-1.0947672","56.9052328","OPT","O","100",""
"20151002","SELL","-1","INTC  151106C00031000","20151106","31","C","0.58","58","-1.0947672","56.9052328","OPT","O","100",""
"20151103","BUY","2","INTC  151106C00031000","20151106","31","C","0","-0","0","0","OPT","C","100","A"
